"yr","codsp","fl","source"
1950,"BLF",65.0095273382017,"Dist_Sim"
1950,"BLF",85.6343187073078,"Dist_Sim"
1950,"BLF",67.5376131636635,"Dist_Sim"
1950,"BLF",82.6242164401266,"Dist_Sim"
1950,"BLF",83.6314287857201,"Dist_Sim"
1950,"BLF",66.1559047729998,"Dist_Sim"
1950,"BLF",81.1367452673853,"Dist_Sim"
1950,"BLF",67.4780064738836,"Dist_Sim"
1950,"BLF",58.6332982443042,"Dist_Sim"
1950,"BLF",71.0018044623308,"Dist_Sim"
1950,"BLF",72.0120293194526,"Dist_Sim"
1950,"BLF",56.0230499958344,"Dist_Sim"
1950,"BLF",80.9228474449026,"Dist_Sim"
1950,"BLF",74.8615602775443,"Dist_Sim"
1950,"BLF",81.8849277271471,"Dist_Sim"
1950,"BLF",91.6573906813981,"Dist_Sim"
1950,"BLF",56.3703021888063,"Dist_Sim"
1950,"BLF",76.3197119370992,"Dist_Sim"
1950,"BLF",67.4036657651263,"Dist_Sim"
1950,"BLF",74.8284519923126,"Dist_Sim"
1950,"BLF",67.8068213570654,"Dist_Sim"
1950,"BLF",72.0397288793666,"Dist_Sim"
1950,"BLF",87.0244753440876,"Dist_Sim"
1950,"BLF",63.6003526932616,"Dist_Sim"
1950,"BLF",74.6764366864072,"Dist_Sim"
1950,"BLF",49.4015758130168,"Dist_Sim"
1950,"BLF",84.7185723045586,"Dist_Sim"
1950,"BLF",59.5291711328489,"Dist_Sim"
1950,"BLF",72.7321027069622,"Dist_Sim"
1950,"BLF",77.3276302431978,"Dist_Sim"
1950,"BLF",79.2298891722261,"Dist_Sim"
1950,"BLF",65.9800589944018,"Dist_Sim"
1950,"BLF",76.6765546318893,"Dist_Sim"
1950,"BLF",75.5429089841554,"Dist_Sim"
1950,"BLF",70.3424779138069,"Dist_Sim"
1950,"BLF",67.706299122176,"Dist_Sim"
1950,"BLF",64.3750523102985,"Dist_Sim"
1950,"BLF",67.4642117431981,"Dist_Sim"
1950,"BLF",72.25326732554,"Dist_Sim"
1950,"BLF",68.186321751845,"Dist_Sim"
1950,"BLF",90.4230798390459,"Dist_Sim"
1950,"BLF",71.6774927791936,"Dist_Sim"
1950,"BLF",80.5427383391434,"Dist_Sim"
1950,"BLF",61.2921411172391,"Dist_Sim"
1950,"BLF",76.2876386841012,"Dist_Sim"
1950,"BLF",69.3405112731244,"Dist_Sim"
1950,"BLF",83.6392649694207,"Dist_Sim"
1950,"BLF",68.0712027657159,"Dist_Sim"
1950,"BLF",88.0922674451348,"Dist_Sim"
1950,"BLF",88.5322957262135,"Dist_Sim"
1950,"BLF",75.9138809815565,"Dist_Sim"
1950,"BLF",78.9311723031361,"Dist_Sim"
1950,"BLF",71.1088883458349,"Dist_Sim"
1950,"BLF",73.9090234885191,"Dist_Sim"
1950,"BLF",54.9481979009015,"Dist_Sim"
1950,"BLF",70.4018184474624,"Dist_Sim"
1950,"BLF",49.439304049724,"Dist_Sim"
1950,"BLF",93.3843366899916,"Dist_Sim"
1950,"BLF",73.0034157889231,"Dist_Sim"
1950,"BLF",63.0683573961775,"Dist_Sim"
1950,"BLF",66.6752559817648,"Dist_Sim"
1950,"BLF",54.5883935179972,"Dist_Sim"
1950,"BLF",68.5617138926241,"Dist_Sim"
1950,"BLF",63.0725162375633,"Dist_Sim"
1950,"BLF",72.1702459341303,"Dist_Sim"
1950,"BLF",54.436817159221,"Dist_Sim"
1950,"BLF",93.2156504195816,"Dist_Sim"
1950,"BLF",66.5180608065444,"Dist_Sim"
1950,"BLF",79.0943716718311,"Dist_Sim"
1950,"BLF",54.569972653589,"Dist_Sim"
1950,"BLF",74.4452924758706,"Dist_Sim"
1950,"BLF",64.9980841921639,"Dist_Sim"
1950,"BLF",83.5205495745087,"Dist_Sim"
1950,"BLF",84.0581529805774,"Dist_Sim"
1950,"BLF",68.1088581398806,"Dist_Sim"
1950,"BLF",69.4608224776743,"Dist_Sim"
1950,"BLF",78.0352255990689,"Dist_Sim"
1950,"BLF",89.3604862213438,"Dist_Sim"
1950,"BLF",91.907055276681,"Dist_Sim"
1950,"BLF",74.4328987603439,"Dist_Sim"
1950,"BLF",73.5078050296335,"Dist_Sim"
1950,"BLF",66.6493818843684,"Dist_Sim"
1950,"BLF",77.723653018628,"Dist_Sim"
1950,"BLF",75.2515635707458,"Dist_Sim"
1950,"BLF",81.1195417115021,"Dist_Sim"
1950,"BLF",98.1174246592694,"Dist_Sim"
1950,"BLF",72.4926294096369,"Dist_Sim"
1950,"BLF",74.7112575178179,"Dist_Sim"
1950,"BLF",63.5441903702445,"Dist_Sim"
1950,"BLF",71.0833341752735,"Dist_Sim"
1950,"BLF",83.1258536942977,"Dist_Sim"
1950,"BLF",69.2897821506694,"Dist_Sim"
1950,"BLF",66.729526150235,"Dist_Sim"
1950,"BLF",57.659198464235,"Dist_Sim"
1950,"BLF",63.676601530452,"Dist_Sim"
1950,"BLF",77.8765607777798,"Dist_Sim"
1950,"BLF",89.1434036520509,"Dist_Sim"
1950,"BLF",70.9118749012383,"Dist_Sim"
1950,"BLF",77.0201416308431,"Dist_Sim"
1950,"BLF",75.3809901668902,"Dist_Sim"
1951,"BLF",67.943985413559,"Dist_Sim"
1951,"BLF",67.5088934164842,"Dist_Sim"
1951,"BLF",66.4164780495642,"Dist_Sim"
1951,"BLF",70.179229663376,"Dist_Sim"
1951,"BLF",85.3390877767305,"Dist_Sim"
1951,"BLF",72.8694042238754,"Dist_Sim"
1951,"BLF",69.6964265820343,"Dist_Sim"
1951,"BLF",60.8692363154337,"Dist_Sim"
1951,"BLF",78.6912409471682,"Dist_Sim"
1951,"BLF",67.3128817534072,"Dist_Sim"
1951,"BLF",57.6489145173349,"Dist_Sim"
1951,"BLF",80.9719200406747,"Dist_Sim"
1951,"BLF",60.0363525115679,"Dist_Sim"
1951,"BLF",73.9872895237886,"Dist_Sim"
1951,"BLF",63.9979322350084,"Dist_Sim"
1951,"BLF",86.4218218427625,"Dist_Sim"
1951,"BLF",74.6336586875673,"Dist_Sim"
1951,"BLF",72.806933955298,"Dist_Sim"
1951,"BLF",68.0108232179793,"Dist_Sim"
1951,"BLF",58.2190786178041,"Dist_Sim"
1951,"BLF",86.9976895918847,"Dist_Sim"
1951,"BLF",61.1374094287236,"Dist_Sim"
1951,"BLF",62.6819247701262,"Dist_Sim"
1951,"BLF",77.4320241312676,"Dist_Sim"
1951,"BLF",73.2901197335048,"Dist_Sim"
1951,"BLF",73.5217360681607,"Dist_Sim"
1951,"BLF",75.2439218642143,"Dist_Sim"
1951,"BLF",61.4829753165331,"Dist_Sim"
1951,"BLF",69.5118529178933,"Dist_Sim"
1951,"BLF",70.89446705526,"Dist_Sim"
1951,"BLF",75.5437696566693,"Dist_Sim"
1951,"BLF",72.4032481337237,"Dist_Sim"
1951,"BLF",64.4329297499757,"Dist_Sim"
1951,"BLF",77.6043282452343,"Dist_Sim"
1951,"BLF",68.1253256672348,"Dist_Sim"
1951,"BLF",73.8983482999936,"Dist_Sim"
1951,"BLF",69.1048454641278,"Dist_Sim"
1951,"BLF",51.1790355597047,"Dist_Sim"
1951,"BLF",69.7305500416999,"Dist_Sim"
1951,"BLF",79.9339709220323,"Dist_Sim"
1951,"BLF",63.5838457743238,"Dist_Sim"
1951,"BLF",72.9692712738473,"Dist_Sim"
1951,"BLF",73.3279693050009,"Dist_Sim"
1951,"BLF",76.9913010727109,"Dist_Sim"
1951,"BLF",65.792843954258,"Dist_Sim"
1951,"BLF",55.8049251194434,"Dist_Sim"
1951,"BLF",73.2356378852744,"Dist_Sim"
1951,"BLF",65.7637474806972,"Dist_Sim"
1951,"BLF",76.7236983487316,"Dist_Sim"
1951,"BLF",84.4168551737143,"Dist_Sim"
1951,"BLF",83.6677350623269,"Dist_Sim"
1951,"BLF",65.6952396960648,"Dist_Sim"
1951,"BLF",58.9639314643788,"Dist_Sim"
1951,"BLF",61.6526707386296,"Dist_Sim"
1951,"BLF",64.3338051083432,"Dist_Sim"
